ref,handle,job,message
E-01.1,@jessicam,EXACT ITEM REQUEST,WHERE is this blazer I'm begging you
E-01.2,@amelie.paris,DECISION,"Ok but if you were me, which one would you actually buy?"
E-01.3,@niamhh,ADAPTATION,"I love the outfit but I live in trainers. How would you change it?"
E-01.4,@roisin,BUDGET,"Anything like this but under £120? I'm not paying £400 lol"
E-01.5,@sarahk,SOCIAL SHARING,Sending this to my sister because she needs this exact vibe
E-01.6,@hannah,FIT,"What size are you in this? I'm usually an 8 but brands are all over the place."
E-01.7,@sophiaa,INTENT,"Can you find me a version of this for a wedding? Same energy, less corporate."
E-01.8,@maya_m,POST-PURCHASE,I bought the shoes. What should I wear with them?
E-01.9,@laura,CONSTRAINT,I'm trying not to buy more stuff. Can you help me use what I own?
E-01.10,@rachel,TRUST,This is the first creator account where I actually save everything.
E-01.11,@georgia,SECOND-HAND DISCOVERY,My bf sent me your coat video because he thinks I need it
E-01.12,@ameliax,CONSIDERATION,I've opened this three times. Still deciding.
